group_id,timeslot_id,subject_id,teacher_id,room_id
G6,13,20901-2106,T05,R5402
G6,14,20901-2106,T05,R5402
G6,15,20901-2106,T05,R5402
G6,16,20901-2106,T05,R5402
G6,18,20901-8503,T18,R6402
G6,19,20901-8503,T18,R6402
G6,37,20001-1003,T15,R6204
G6,38,20001-1003,T15,R6204
G6,39,20901-2107,T13,R5105
G6,40,20901-2107,T13,R5105
G6,49,20901-2007,T18,R6403
G6,50,20901-2007,T18,R6403
G6,51,20901-2009,T08,R5406
G6,52,20901-2009,T08,R5406
G6,54,20001-1003,T15,R6301
G7,1,20901-2407,T13,R6405
G7,2,20901-2407,T13,R6405
G7,3,20901-2407,T13,R6405
G7,4,20901-2407,T13,R6405
G7,6,20000-1208,T16,R6403
G7,7,20000-1208,T16,R6403
G7,8,20000-1402,T17,R6203
G7,9,20000-1402,T17,R6203
G7,10,20001-1003,T15,R6205
G7,13,20001-1003,T15,R??????
G7,14,20001-1003,T15,R??????
G7,18,20901-2408,T13,R6201
G7,19,20901-2408,T13,R6201
G7,20,20901-2408,T13,R6201
G7,21,20901-2408,T13,R6201
G7,22,20901-2408,T13,R6201
G7,23,20901-2408,T13,R6201
G7,25,20000-2007,T18,R??????
G7,26,20000-2007,T18,R??????
G7,27,20901-2406,T18,R6402
G7,37,20901-9203,T08,R5401
G7,44,20901-8503,T07,R6201
G7,45,20901-8503,T07,R6201
G7,49,20901-9203,T08,R5101
G7,50,20901-9203,T08,R5101
G7,54,20901-2406,T18,R5204
G7,55,20901-2406,T18,R5204
G8,1,21900-1004,T18,R6203
G8,2,21900-1004,T18,R6203
G8,6,21901-2012,T13,R6204
G8,7,21901-2012,T13,R6204
G8,8,21901-2017,T05,R??????
G8,9,21901-2017,T05,R??????
G8,10,21901-2010,T18,R5203
G8,15,21900-1004,T18,R10401
G8,18,21901-2011,T05,R5101
G8,19,21901-2011,T05,R5101
G8,20,21901-2011,T05,R5101
G8,21,21901-2011,T05,R5101
G8,22,21901-2011,T05,R5401
G8,30,21901-2010,T18,R5401
G8,31,21901-2010,T18,R5401
G8,32,21901-2010,T18,R5401
G8,33,21901-2010,T18,R5401
G8,37,21901-2012,T13,R6404
G8,49,21901-2017,T05,R5105
